Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Peterson Reservoir,PTRR,2021-08-11,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,2,5.83,0.47,6.82,202.01,41.5,1.64,0.11,1.35,0.65,5.32,0.06,0.78,0.29,0,6.64,9.54,0.62
Barnes Meadow Outflow,BMD,2021-08-18,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,14,NA,9.42,6.67,446.91,63.94,2.44,0.36,1.27,1.48,7.07,0.06,1.75,0.04,0,9.32,7.09,0.55
Barnes Meadow Reservoir,BRNR,2021-08-18,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4,6.8,2.29,6.97,455.52,80.48,2.65,0.06,1.36,1.58,9.48,0.04,1.84,0.01,0,11.22,13.56,0.39
Chambers Inlet,CBRI,2021-08-18,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.25,1.8,0.47,7.12,443.48,53.35,2.06,0.07,0.86,1.28,7.17,0.06,0.61,0.05,0,3.3,7.11,0.15
Chambers Reservoir,CBRR,2021-08-18,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,4.25,7.5,2.2,6.94,321.09,39.55,1.5,0.06,0.83,1.02,4.23,0.06,0.46,0.01,0,3.1,6.7,0.24
Chambers Outflow,CHD,2021-08-18,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3,2.35,1.76,6.98,376.8,45.12,1.55,0.04,0.85,1.07,5.61,0.05,0.46,0.01,0,3.21,6.72,0.19
Peterson Outlet,PTRO,2021-08-18,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,3.5,1.53,1.06,6.96,206.72,43.22,1.71,0.06,1.4,0.62,5.9,0.07,0.82,0.32,0,6.71,9.51,0.44
Peterson Reservoir,PTRR,2021-08-18,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,2,1.2,1.5,6.5,217.31,42.73,1.69,0.08,1.38,0.56,5.5,0.06,0.82,0.53,0,6.97,9.41,0.46
Barnes Meadow Outflow,BMD,2021-08-25,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,13,19.96,8.42,6.86,441.77,68.56,2.32,0.38,1.23,1.48,7.83,0.04,1.65,0.15,0,8.75,6.55,0.49
Barnes Meadow Reservoir,BRNR,2021-08-25,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.2,7.82,1.91,7.15,478.99,80.92,2.64,0.02,1.29,1.63,9.59,0.03,1.79,0.02,0,11.09,14.03,0.41
Chambers Inlet,CBRI,2021-08-25,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.5,5.83,0.45,7.21,456.88,54.51,1.96,0.04,0.82,1.01,7.33,0.05,0.65,0.12,0,3.46,7.02,0.18
Chambers Reservoir,CBRR,2021-08-25,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,4.25,4.73,0.69,6.99,311.07,41.53,1.54,0.03,0.89,1.03,5.2,0.07,0.49,0.03,0,3.41,6.61,0.24
Chambers Outflow,CHD,2021-08-25,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,2.75,59.42,1.26,6.92,359.27,45.5,1.58,0.04,0.91,1.12,5.22,0.04,0.51,0.05,0,3.33,6.53,0.23
Peterson Outlet,PTRO,2021-08-25,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,3.5,3.2,2.69,6.81,193.7,43.89,1.76,0.08,1.37,0.43,5.97,0.02,0.93,0.41,0,6.83,9.31,0.38
Peterson Reservoir,PTRR,2021-08-25,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,1.75,2.4,3.03,6.73,210.53,41.41,1.72,0.06,1.39,0.42,5.18,0.03,0.97,0.44,0,7.43,9.57,0.42
Barnes Meadow Outflow,BMD,2021-09-01,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,13,5,1.23,6.9,421.2,65.39,2.41,0.31,1.09,1.51,7.33,0.03,1.56,0.22,0,9.36,7.02,0.53
Barnes Meadow Reservoir,BRNR,2021-09-01,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4,1.6,0.02,7.22,494.3,78.45,2.68,0.04,1.32,1.77,9.66,0.03,1.81,0.03,0,10.23,13.96,0.43
Chambers Inlet,CBRI,2021-09-01,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,4,1.11,0.29,7.12,442.21,53.21,1.98,0.03,0.82,1.1,6.98,0.05,0.66,0.09,0,3.45,6.83,0.21
Chambers Reservoir,CBRR,2021-09-01,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,5,0.7,2.6,7.02,341.2,43.21,1.55,0.06,0.92,1,5.51,0.07,0.45,0.04,0,3.54,6.55,0.26
Chambers Outflow,CHD,2021-09-01,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3,1.21,1.11,7.02,355.4,44.31,1.59,0.04,0.94,1.07,5.4,0.04,0.54,0.06,0,3.41,6.49,0.24
Peterson Outlet,PTRO,2021-09-01,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,3.7,6.35,2.53,7,274,44.78,1.73,0.06,1.38,0.52,5.4,0.03,0.84,0.36,0,6.75,8.67,0.38
Peterson Reservoir,PTRR,2021-09-01,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,2.5,1.92,3.46,6.87,196.75,40.47,1.68,0.08,1.38,0.55,5.23,0.03,0.86,0.39,0,7.23,8.23,0.4
Barnes Meadow Outflow,BMD,2021-09-08,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,14,NA,4.82,6.86,408.09,62.84,2.5,0.33,1.09,1.18,6.37,0.03,1.7,0.09,0,8.57,7.85,0.6
Barnes Meadow Reservoir,BRNR,2021-09-08,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,8,NA,2.36,6.98,425.66,72.15,2.61,0.3,1.29,1.06,9.74,0.04,1.67,0.08,0.09,8.59,11.86,0.42
Chambers Inlet,CBRI,2021-09-08,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.4,NA,0.37,6.99,441.15,53.77,2.12,0.01,0.89,1.29,7.52,0.08,0.7,0.1,0,2.92,4.34,0.23
Chambers Reservoir,CBRR,2021-09-08,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,5.1,1000.3,0.98,6.98,382.51,61.43,1.66,0.01,1.31,1.64,10.32,0.06,1.7,0.03,0,3.4,6.65,0.2
Chambers Outflow,CHD,2021-09-08,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,5.6,NA,1.38,6.93,402.33,45.38,1.61,0.01,0.88,1.19,5.18,0.03,0.57,0.11,0,3.25,5.59,0.19
Peterson Outlet,PTRO,2021-09-08,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,10,2.06,1.98,6.88,289.65,39.54,2.16,0.03,1.28,0.48,4.45,0.03,1.13,0.11,0,4.65,5.66,0.35
Peterson Reservoir,PTRR,2021-09-08,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,9.8,2,1.59,6.8,186.51,37.03,1.68,0.04,1.31,0.44,3.85,0.03,1.02,0.08,0,7.63,7.14,0.46
Barnes Meadow Outflow,BMD,2021-09-15,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,10,5.8,1.16,7.05,407.25,64.67,2.53,0.38,1.44,1.17,6.64,0.05,1.69,0.17,0,7.93,6.53,0.58
Barnes Meadow Reservoir,BRNR,2021-09-15,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,5.4,6.12,3.2,7.27,457.45,73.96,2.62,0,1.39,1.08,9,0.06,1.72,0.01,0,11.09,6.29,0.31
Chambers Inlet,CBRI,2021-09-15,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,5.5,1.93,0.58,7.15,345.49,48.1,1.58,0.01,0.76,1.4,6.45,0.08,0.64,0.22,0,3.37,4.51,0.21
Chambers Reservoir,CBRR,2021-09-15,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,5.8,1.12,1.08,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32,5.66,0.2
Chambers Outflow,CHD,2021-09-15,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.8,NA,1.37,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3,4.55,0.2
Peterson Outlet,PTRO,2021-09-15,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,13.5,5.96,1.64,7.18,338.97,47.43,2.52,0.13,1.45,0.55,4.72,0.05,1.17,0.16,0,4.23,4.21,0.31
Peterson Reservoir,PTRR,2021-09-15,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,9,5.34,1.03,6.95,200.06,39.13,1.86,0.13,1.45,0.56,3.2,0.03,1.16,0.12,0,7.91,4.81,0.43
Comanche Inflow,COMI,2021-09-21,40.5858963,-105.6626,Comanche Reservoir,0.173174601127291,Burned,2.1,0.38,0.17,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96,2.34,0.19
Comanche Outflow,COMO,2021-09-21,40.5846048,-105.6440011,Comanche Reservoir,0.24966832476956524,Burned,10,4.9,2.68,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36,2.45,0.24
Comanche Reservoir,COMR,2021-09-21,40.5853086,-105.6455009,Comanche Reservoir,0.24966832476956524,Burned,10.1,2.5,0.68,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47,1.96,0.17
Hourglass Inflow,HORI,2021-09-21,40.5805091,-105.6409321,Hourglass Reservoir,0.05085114281168797,Burned,2.1,0.1,0.18,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48,1.04,0.26
Hourglass Outflow,HORO,2021-09-21,40.5828742,-105.6309523,Hourglass Reservoir,0.10162730589431843,Burned,3.1,2.5,2.69,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64,0.99,0.16
Hourglass Reservoir,HORR,2021-09-21,40.582032,-105.6314023,Hourglass Reservoir,0.10162730589431843,Burned,3.5,0.58,3.02,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62,1.51,0.16
Barnes Meadow Outflow,BMD,2021-09-22,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.6,NA,0.96,7,317.14,51.09,2.39,0.34,1.18,1.09,4.31,0.07,1.91,0.06,0,6.53,6.96,0.57
Barnes Meadow Reservoir,BRNR,2021-09-22,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4,NA,3.47,7.12,440.88,75.08,2.52,0.02,1.26,1.1,8.82,0.05,1.82,0,0,11.06,7.6,0.3
Chambers Inlet,CBRI,2021-09-22,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,4,NA,0.92,7.02,334.98,46.96,1.58,0.01,0.71,1.33,6.56,0.08,0.63,0.21,0,3.38,4.61,0.2
Chambers Reservoir,CBRR,2021-09-22,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3.6,NA,0.91,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48,5.51,0.18
Chambers Outflow,CHD,2021-09-22,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.5,NA,1.47,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63,4.31,0.18
Peterson Outlet,PTRO,2021-09-22,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,10.5,NA,3.55,7.04,338.97,42.77,2.6,0.06,1.41,0.47,3.68,0.06,1.33,0.13,0,3.75,4.06,0.32
Peterson Reservoir,PTRR,2021-09-22,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,7.4,NA,1.12,6.8,200.15,37.59,1.79,0.13,1.43,0.52,3.12,0.03,1.07,0.12,0,7.84,4.73,0.52
Barnes Meadow Outflow,BMD,2021-09-28,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,9.3,NA,2.05,7.03,349.87,56.95,2.4,0.28,1.29,1.07,5.01,0.05,1.74,0.04,0,7.73,6.11,0.6
Barnes Meadow Reservoir,BRNR,2021-09-28,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,3.2,NA,3.1,7.18,457.34,68.84,2.65,0.02,1.32,1.01,8.11,0.05,1.95,0.02,0,11.2,7.33,0.3
Chambers Inlet,CBRI,2021-09-28,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.6,NA,1.18,6.98,343.68,48.86,1.46,0.03,0.68,1.34,6.72,0.08,0.58,0.15,0,3.36,4.33,0.18
Chambers Reservoir,CBRR,2021-09-28,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,5,NA,0.72,7.08,391.67,43.46,1.57,0.04,0.83,0.93,4.43,0.07,0.61,0.01,0,3.58,5.22,0.17
Chambers Outflow,CHD,2021-09-28,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.1,NA,1.15,7.02,402.75,42.77,1.6,0.03,0.85,0.95,4.46,0.07,0.61,0.02,0,3.61,4.22,0.19
Peterson Outlet,PTRO,2021-09-28,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,11.5,NA,3.25,7.12,335.4,42.07,2.6,0.09,1.3,0.47,3.53,0.05,1.33,0.02,0.03,3.79,4.06,0.31
Peterson Reservoir,PTRR,2021-09-28,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,9.3,NA,0.8,6.77,181.45,39.35,1.68,0.13,1.33,0.53,3.95,0.05,1.05,0.09,0,7.93,5.22,0.49
Barnes Meadow Outflow,BMD,2021-10-13,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,10.5,22.18,1.97,7.2,372.75,62.07,2.54,0.21,1.29,1.07,5.75,0.05,1.8,0,0,10.81,5.98,0.57
Barnes Meadow Reservoir,BRNR,2021-10-13,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,5,4.3,4.6,7.24,476.04,74.96,2.61,0.03,1.27,1.09,8.05,0.07,1.87,0.01,0,10.62,7.09,0.34
Chambers Inlet,CBRI,2021-10-13,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.9,5.5,1.58,7.22,471.8,60.74,2.29,0.03,0.85,1.47,7.59,0.08,1.1,0.06,0,3.37,3.96,0.18
Chambers Reservoir,CBRR,2021-10-13,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,35.8,269.02,1.61,7.23,425.54,43.81,1.65,0.01,0.82,0.93,3.95,0.08,0.68,0.02,0,3.85,4.99,0.18
Chambers Outflow,CHD,2021-10-13,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,6.9,10,2.23,7.2,414.3,44.97,1.74,0.04,0.82,0.87,4.23,0.1,0.82,0.02,0,3.87,3.87,0.18
Peterson Outlet,PTRO,2021-10-13,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,9.5,9.33,2.35,7.07,285.02,37.69,2.47,0.03,1.31,0.44,3.22,0.04,1.33,0.26,0,3.42,3.96,0.3
Peterson Reservoir,PTRR,2021-10-13,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,11,5.58,1.53,6.89,192.31,39.53,1.73,0.12,1.31,0.51,3.51,0.04,1.08,0.13,0,7.82,5.41,0.47
Barnes Meadow Outflow,BMD,2021-10-26,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,15,2.02,1.01,6.99,518.47,66.97,2.57,0.03,1.36,0.84,5.38,0.07,1.79,0.15,0,11.25,7.46,0.38
Barnes Meadow Reservoir,BRNR,2021-10-26,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4,4,3.34,7.08,523.99,71.34,2.55,0.02,1.35,0.85,6.45,0.05,1.77,0.01,0,11.03,7.58,0.34
Chambers Inlet,CBRI,2021-10-26,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.5,23.06,1.22,7.24,541.29,60.19,2.3,0.01,0.93,1.38,6.18,0.08,1.06,0.3,0,3.66,4.67,0.2
Chambers Reservoir,CBRR,2021-10-26,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,5.5,1.82,2.08,7.15,459.11,44.74,1.69,0.01,0.9,0.71,3.65,0.08,0.76,0.09,0,4.08,4.33,0.18
Chambers Outflow,CHD,2021-10-26,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.5,1.82,2.41,7.19,468.46,46.51,1.74,0.01,0.92,0.73,3.73,0.07,0.75,0.09,0,4.12,4.49,0.2
Barnes Meadow Outflow,BMD,2022-06-01,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,0.56,6.27,7.19,468.61,64.68,2,0.02,1.22,1,8.03,0.01,1.56,0.72,0,7.07,5.17,0.55
Barnes Meadow Reservoir,BRNR,2022-06-01,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,1.31,3.93,7.29,455.23,64.41,1.98,0.02,1.22,1.23,8.01,0.01,1.58,0.15,0,7.01,5.13,0.45
Chambers Inlet,CBRI,2022-06-01,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,NA,2.74,0.35,7.26,399.35,52.17,1.82,0.03,0.84,1.33,6.1,0.06,1.13,1.11,0,3.2,3.19,0.41
Chambers Reservoir,CBRR,2022-06-01,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,NA,5.3,10.23,7.32,425.4,55.35,1.91,0.02,1.13,0.68,7.11,0.07,1.27,1.91,0,3.88,3.7,0.64
Chambers Outflow,CHD,2022-06-01,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,NA,2.83,3.31,7.37,441.99,59.29,2.05,0.01,1.18,1.21,7.24,0.02,1.12,1.77,0,3.75,3.87,0.67
Barnes Meadow Outflow,BMD,2022-06-07,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,0.21,3.83,7.04,383.93,59.87,2.2,0.02,1.29,0.96,7.8,0.02,1.65,0.49,0,6.79,5.18,0.5
Barnes Meadow Reservoir,BRNR,2022-06-07,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,2.6,4.82,7.27,427.77,64.08,2.11,0.02,1.29,1.31,8.2,0.02,1.62,0.14,0,6.89,4.98,0.47
Chambers Inlet,CBRI,2022-06-07,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,NA,15.14,1.82,7.14,333,48.13,1.9,0.03,0.8,1.28,6.05,0.06,1.09,1.08,0,3.05,3.32,0.47
Chambers Reservoir,CBRR,2022-06-07,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,NA,3.83,11.03,7.46,381.75,53.61,1.94,0.02,1.12,0.76,7.88,0.07,1.21,1.54,0,3.75,3.48,0.54
Chambers Outflow,CHD,2022-06-07,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,NA,3.2,3.51,7.25,394.04,55.87,2,0.01,1.18,1.26,7.22,0.02,1.12,1.66,0,3.78,3.62,0.56
Barnes Meadow Outflow,BMD,2022-06-14,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,1.27,1.35,4.03,7.19,413.61,73.04,2.1,0.03,1.23,1.39,11.21,0.02,1.66,0.45,0,7.43,5.88,0.59
Barnes Meadow Reservoir,BRNR,2022-06-14,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,44.51,49.4,5.35,7.34,471.24,66.9,2.33,0.03,1.3,1.19,9.55,0.02,1.51,0.1,0,7.09,6.02,0.45
Chambers Inlet,CBRI,2022-06-14,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,75.41,81.67,2.95,7.19,302.16,54.94,2.24,0.05,1.29,2.06,8.03,0.04,1.07,0.83,0,2.77,3.67,0.42
Chambers Reservoir,CBRR,2022-06-14,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,254.31,262.71,7.55,7.26,310.82,35.76,1.38,0.02,0.85,0.79,6.54,0.04,0.77,1.01,0,2.82,3.4,0.43
Chambers Outflow,CHD,2022-06-14,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,6.51,7.4,7.05,7.26,324.75,45.42,1.48,0.06,0.91,1.19,5.83,0.04,0.96,1.11,0,2.94,3.39,0.55
Peterson Outlet,PTRO,2022-06-14,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,2.28,3.27,1.28,7.06,160.48,29.37,1.29,0.03,1.14,0.56,3.8,0.02,0.57,0.33,0,2.6,5.89,0.38
Peterson Reservoir,PTRR,2022-06-14,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,1.12,1.6,4.4,7.07,225.19,33.14,1.45,0.02,0.7,0.59,4.59,0.05,0.82,0.33,0,3.19,5.99,0.48
Barnes Meadow Reservoir,BRNR,2022-06-22,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,13.17,7.6,2,7.44,422.31,75.67,2.27,0.06,1.29,1.65,11.23,0.02,1.68,0.38,0,7.72,6.68,0.45
Chambers Inlet,CBRI,2022-06-22,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,6,6.49,1.1,7.22,322.77,44.39,1.39,0.03,0.72,1.33,6.39,0.04,0.6,0.44,0,2.14,3.77,0.39
Chambers Reservoir,CBRR,2022-06-22,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,6.78,7.68,1.38,7.38,306.8,46.32,1.34,0.04,0.83,1.37,6.78,0.07,0.64,0.71,0,2.36,3.49,0.43
Chambers Outflow,CHD,2022-06-22,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.51,2.6,3.76,7.37,319.01,45.77,1.42,0.09,0.84,1.26,6.67,0.05,0.65,0.79,0,2.32,3.42,0.44
Barnes Meadow Outflow,BMD,2022-06-23,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,8.99,4.4,1.85,7.34,466.31,73.02,2.25,0.18,1.29,1.59,10.85,0.08,1.72,0.77,0,7.91,6.22,0.45
Barnes Meadow Reservoir,BRNR,2022-06-23,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,0.29,0,1.72,7.57,526.75,80.44,2.28,0.06,1.3,1.6,11.1,0.02,1.7,0.39,0,7.76,6.66,0.44
Chambers Inlet,CBRI,2022-06-23,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,5.69,2.8,0.74,7.4,323.42,43.86,1.41,0.03,0.72,1.32,6.39,0.06,0.57,0.47,0,2.29,3.82,0.35
Chambers Reservoir,CBRR,2022-06-23,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,8.22,9.39,3.13,7.36,316.75,42.33,1.32,0.06,0.82,1.03,6.22,0.07,0.62,0.54,0,2.22,4.07,0.21
Chambers Outflow,CHD,2022-06-23,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.99,1.58,2.93,7.41,376.25,47.84,1.45,0.07,0.88,1.12,6.55,0.04,0.62,0.62,0,2.22,3.36,0.32
Peterson Outlet,PTRO,2022-06-23,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,2.5,1.2,1.24,7.11,273.48,36.56,1.37,0.04,1.2,0.72,4.87,0.02,0.58,0.24,0,2.35,6.13,0.42
Peterson Reservoir,PTRR,2022-06-23,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,0.22,0.34,0.74,7.01,201.57,32.12,1.36,0.04,1.16,0.73,4.7,0.04,0.57,0.26,0,2.32,6.23,0.51
Barnes Meadow Outflow,BMD,2022-06-28,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.5,5.89,0.71,7.29,465.85,78.85,2.21,0.21,1.25,1.36,11.6,0.07,1.76,0.74,0,7.7,6.79,0.44
Barnes Meadow Reservoir,BRNR,2022-06-28,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,2.64,0.8,1.92,7.79,543.98,83.18,2.23,0.07,1.25,1.38,12.84,0.02,1.69,0.38,0,7.59,6.16,0.57
Chambers Inlet,CBRI,2022-06-28,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.75,1,0.59,7.41,327.57,41.46,1.18,0.03,0.65,1.52,5.41,0.04,0.59,0.33,0,1.89,3.92,0.32
Chambers Reservoir,CBRR,2022-06-28,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3.04,1.96,1.1,7.43,328.63,41.83,1.29,0.05,0.76,0.95,5.41,0.08,0.63,0.23,0,2.06,3.29,0.24
Chambers Outflow,CHD,2022-06-28,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.45,0.6,1.75,7.41,371.34,44.39,1.49,0.07,0.86,1,6.42,0.05,0.56,0.62,0,2.13,3.16,0.25
Peterson Outlet,PTRO,2022-06-28,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,2.68,2.91,1.25,7.16,277.31,34.38,1.4,0.1,1.15,0.62,4.13,0.02,0.58,0.26,0,2.26,5.89,0.48
Peterson Reservoir,PTRR,2022-06-28,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,4.42,2,0.69,7.05,231.16,31.28,1.35,0.06,1.11,0.63,3.97,0.04,0.55,0.23,0,2.22,6.45,0.52
Comanche Inflow,COMI,2022-06-29,40.5858963,-105.6626,Comanche Reservoir,0.173174601127291,Burned,0.53,0.91,0.36,7.01,165.11,21.32,1.25,0.04,0.28,0.51,2.88,0.02,0.23,0.56,0,0.67,2.99,0.22
Comanche Outflow,COMO,2022-06-29,40.5846048,-105.6440011,Comanche Reservoir,0.24966832476956524,Burned,5.65,2.31,7.2,7.06,147.25,21.17,1.32,0.01,0.33,0.6,2.89,0.05,0.23,0.6,0,0.91,3.39,0.35
Comanche Reservoir,COMR,2022-06-29,40.5853086,-105.6455009,Comanche Reservoir,0.24966832476956524,Burned,6.27,7.2,5.53,7.04,167.07,22.54,1.35,0.04,0.36,0.59,2.98,0.06,0.26,0.47,0,0.98,2.96,0.25
Hourglass Inflow,HORI,2022-06-29,40.5805091,-105.6409321,Hourglass Reservoir,0.05085114281168797,Burned,2.02,1.2,0.29,6.88,150.26,18.78,1,0.02,0.28,0.48,2.15,0.06,0.16,0.57,0,0.72,2.31,0.44
Hourglass Outflow,HORO,2022-06-29,40.5828742,-105.6309523,Hourglass Reservoir,0.10162730589431843,Burned,2.21,3.33,2.3,6.93,123.45,18.72,1.08,0.02,0.38,0.54,2.39,0.06,0.24,0.22,0,0.9,3.58,0.15
