Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Chambers Outflow,CHD,2021-05-24,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,1.9,0,NA,7.18,443.67,64.14,1.97,0.02,0.92,2.02,7.22,0.09,1.02,0.52,0.28,10.45,4.62,0.45
Barnes Meadow Outflow,BMD,2021-06-01,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,3.5,4,NA,6.99,446.33,75.68,2.26,0.05,1.19,1.52,9.75,0.03,1.41,0.22,0,11.24,7.64,0.4
Chambers Inlet,CBRI,2021-06-01,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2.5,4,NA,7.24,380.57,47.78,1.84,0.02,0.89,1.1,6.25,0.04,0.75,0.45,0.01,5.36,5.32,0.47
Chambers Outflow,CHD,2021-06-01,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,2,0,NA,7.17,436.78,64.81,1.71,0.03,0.98,1.43,7.03,0.04,1.01,0.37,0,6.71,4.03,0.36
Barnes Meadow Outflow,BMD,2021-06-02,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,7.38,1.04,7.17,355.03,69.65,2.33,0.06,1.24,1.51,9.55,0.03,1.41,0.16,0,11.59,7.38,0.55
Barnes Meadow Reservoir,BRNR,2021-06-02,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,NA,1.79,1.45,7.21,386.18,68.37,2.3,0.05,1.23,1.51,9.81,0.03,1.44,0.02,0,11.42,7.34,0.46
Chambers Inlet,CBRI,2021-06-02,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,NA,1.79,0.21,7.12,321.42,46.12,2.06,0.02,0.58,0.95,6.37,0.06,0.48,0.38,0,3.01,4.23,0.46
Chambers Reservoir,CBRR,2021-06-02,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,NA,3.72,2.64,7.2,349.32,54.44,1.71,0.04,1,1.38,7.13,0.04,0.91,0.19,0,6.47,3.9,0.42
Chambers Outflow,CHD,2021-06-02,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,NA,0,2.1,7.23,378.79,58.52,1.69,0.02,1.01,1.43,7.21,0.04,0.92,0.28,0,6.65,3.73,0.45
Peterson Reservoir,PTRR,2021-06-02,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,NA,0,1.54,6.82,169.77,41.8,1.49,0.11,1.35,0.82,4.97,0.03,0.88,0.32,0,7.85,7.02,0.65
Barnes Meadow Outflow,BMD,2021-06-07,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,4,NA,NA,6.86,395.63,75.49,2.28,0.06,1.17,1.45,10.19,0.03,1.44,0.1,0,11.39,7.42,0.54
Chambers Inlet,CBRI,2021-06-07,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,5,NA,NA,6.81,304.73,44.7,1.42,0.05,0.62,1.49,5.85,0.06,0.64,0.35,0,3.39,3.99,0.36
Chambers Outflow,CHD,2021-06-07,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.75,NA,NA,6.93,375.91,51.22,1.68,0.08,0.94,1.24,6.28,0.04,0.91,0.25,0,5.84,3.88,0.46
Barnes Meadow Outflow,BMD,2021-06-09,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.4,5,2.17,6.91,429.3,75.84,2.22,0.17,1.15,1.46,9.08,0.03,1.27,0.06,0,10.25,7.43,0.68
Barnes Meadow Reservoir,BRNR,2021-06-09,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,3,3,1.83,7.09,426.01,68.78,2.22,0.02,1.17,1.53,9.51,0.02,1.28,0.03,0,10.33,7.39,0.5
Chambers Inlet,CBRI,2021-06-09,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.6,6,0.36,6.97,296.85,39.22,1.34,0.03,0.64,0.95,5.14,0.05,0.41,0.14,0,2.66,3.97,0.43
Chambers Reservoir,CBRR,2021-06-09,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3.1,2,1.18,7.03,351.74,51.85,1.45,0.02,0.86,1.3,6.59,0.02,0.69,0.01,0,4.98,4.18,0.74
Chambers Outflow,CHD,2021-06-09,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.5,2.11,1.54,7.02,332.64,47.93,1.46,0.01,0.84,1.17,6.12,0.03,0.77,0.3,0,4.7,4.08,0.46
Peterson Outlet,PTRO,2021-06-09,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,2.5,3,4.6,6.79,163.76,41.51,1.39,0.01,1.22,0.86,5.65,0.01,0.68,0.01,0,6.52,7.14,0.44
Peterson Reservoir,PTRR,2021-06-09,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,3.4,6,4.79,6.8,178.19,39.37,1.37,0.01,1.19,0.77,5.05,0.03,0.67,0.01,0,6.61,7,0.48
Barnes Meadow Outflow,BMD,2021-06-16,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,10,6.09,2.98,6.71,398.7,68.7,2.34,0.17,1.22,1.55,9.72,0.04,1.43,0.06,0,11.23,7.69,0.58
Barnes Meadow Reservoir,BRNR,2021-06-16,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,3.6,2,1.66,7.01,405.16,71.97,2.38,0.06,1.26,1.56,9.43,0.04,1.43,0.01,0,11.8,7.61,0.55
Chambers Inlet,CBRI,2021-06-16,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2.8,2.01,0.32,6.82,302.57,39.32,1.4,0.03,0.69,0.98,5.02,0.06,0.48,0.13,0,2.69,3.44,0.28
Chambers Reservoir,CBRR,2021-06-16,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3.5,3,1.56,6.91,313.61,43.6,1.35,0.08,0.83,1.08,5.64,0.05,0.65,0.01,0,4.4,4.11,0.4
Chambers Outflow,CHD,2021-06-16,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,2.9,2,0.96,6.81,346.47,46.47,1.53,0.04,0.86,1.07,5.98,0.05,0.61,0.11,0,4.18,3.76,0.34
Peterson Outlet,PTRO,2021-06-16,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,3,3,2.6,6.72,163.9,40.78,1.41,0.06,1.27,0.75,4.93,0.02,0.78,0.01,0,6.85,7.69,0.48
