IDNo,Era,FCW,EraSamp,NewEra,Proj_General,ProjID,Proj_Specific,Storm,Site,SiteDescr,SiteLabel,BurnClass,DwnStrm,VAR00017,Area_ha,Burn_ha,BurnPer,HiPer,HiModPer,FishTrib,SiteType,SiteCode,CP_ISCOs,FishISCO,CP_CoreTrib,CP_PreTrib,PreCP_Period,PrePostTrib,CLP_UPDwn,Trt_CP,CP_TrtID,PrePost_CP,PrePost_ID,Trt_Cit,PrePost_Cit,HighPk_trt,HighPk_prepost,Date,Month,Season,Year,Time,ISCOEVENT,Bottle,Duration,LocType,EventType,SampleType,SampleTypeID,Temp,Stage_PBR_ft,Q_cfs,Turbidity,Turbidity,TSS,Zerod_TSS,ChlA,Al_ppm,Si_ppm,P_ppm,Mn_ppb,Fe_ppb,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,NO3N,NH4N,DIN,DON,ANC_A,H,Ca_A,Mg_A,Na_A,K_A,NH4_A,F_A,CL_A,NO3_A,PO4_A,SO4_A,ANIONS,CATIONS,ION,DIFF,BASES,ACIDS,ALK,ION_A,DIFF_A,COND,COND_A,LABNOTES,BOTTLENOTES,Collector,Outlier,Outlier_Comm,VAR00010,VAR00011,V91,V92,TSS_NOTES,filter_$
HPW 102,HPW,#NULL!,102,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,,,29-Jul-14,7,2,2014,12:25:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,15,#NULL!,#NULL!,#NULL!,,,,,,,,,,2.96,0.68,8.18,1887.14,237,10.05,0.18,1.96,7.91,29.21,0.33,5.78,2.63,0,15.28,0.594117,0.142876,0.736993,-0.052593,1887.141,0.006606934,1457.684631,651.0594528,437.0639637,50.02775057,10.20051779,17.36988104,163.0327476,42.41600261,0,318.1424479,2428.102079,2606.042922,5034.145002,-3.534678547,2595.835798,523.5911981,2072.2446,OK,6.435374556,OK,252.2518377,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 103,HPW,#NULL!,103,#NULL!,CAMPK,1,Typical,1,Cactus,CLP abv Skin,PCACT,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,CLP,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,BURNED,2,PRE,1,,,,,4-Aug-14,8,2,2014,9:35:00 AM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,13,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.12,0.25,7.55,321.9,44.1,2,0.06,0.66,1.19,4.84,0.13,0.75,0.39,0,2.71,0.088101,0.043484,0.131585,0.120315,321.897,0.028183829,241.6167665,98.2513886,87.03871331,16.82937621,3.104505413,6.842680408,21.15476828,6.289825482,0,56.42447865,412.6087528,446.8689338,859.4776867,-3.986162939,443.7362446,83.86907241,359.8671722,OK,-2.578328965,OK,42.96295693,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 104,HPW,#NULL!,104,#NULL!,HIGHPK,3,,#NULL!,Hill,,HILL,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,4-Aug-14,8,2,2014,10:00:00 AM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,10,#NULL!,#NULL!,#NULL!,,,,,,,,,,6.2,0.5,8.11,1442.21,187.8,9.95,0.17,2.01,5.86,21.83,0.29,3.31,0.97,0,14.37,0.219123,0.133558,0.352681,0.151419,1442.213,0.007762471,1089.421158,482.5344579,432.7142029,51.4600379,9.535266627,15.26444091,93.36304403,15.64392492,0,299.1954827,1865.679893,2065.672886,3931.352778,-5.087129144,2056.129856,408.2024517,1647.927405,OK,4.941243122,OK,197.0796546,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 105,HPW,#NULL!,105,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,4-Aug-14,8,2,2014,9:30:00 AM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,14,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.33,0.76,7.82,1595.44,212,8.65,0.16,1.73,6.93,25.06,0.3,4.58,3.04,0,13.88,0.686736,0.12424,0.810976,-0.052876,1595.441,0.015135612,1250.698603,570.0884592,376.1673127,44.29860122,8.870015467,15.79080094,129.1851183,49.02838324,0,288.9932707,2078.438573,2250.138127,4328.5767,-3.966651526,2241.252976,467.2067723,1774.046204,OK,2.52865182,OK,217.3607419,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 106,HPW,#NULL!,106,#NULL!,CAMPK,1,Typical,1,Cactus,CLP abv Skin,PCACT,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,CLP,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,BURNED,2,PRE,1,,,,,12-Aug-14,8,2,2014,2:15:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,15,#NULL!,#NULL!,#NULL!,,,,,,,,,,2.94,0.2,7.04,287.6,43.4,1.8,0.04,0.62,1.1,4.69,0.26,0.56,0.27,0,3.03,0.060993,0.0318365,0.0928295,0.1066705,287.602,0.091201084,233.9820359,90.68092985,78.07820609,15.72958415,2.272941463,13.68536082,15.79556032,4.354494564,0,63.08714771,384.5245634,420.8348986,805.359462,-4.508587391,418.470756,83.23720259,335.2335534,OK,-7.640735211,OK,40.08392092,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 107,HPW,#NULL!,107,#NULL!,HIGHPK,3,,#NULL!,Hill,,HILL,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,12-Aug-14,8,2,2014,1:15:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,21,#NULL!,#NULL!,#NULL!,,,,,,,,,,5.31,0.32,8.01,1502.76,201,10.84,0.18,2.08,6.09,22.78,0.31,3.92,0.22,0,15.23,0.049698,0.142876,0.192574,0.130226,1502.758,0.009772372,1136.726547,501.2960296,471.6880595,53.09693772,10.20051779,16.31716097,110.5689222,3.548106682,0,317.1014058,1950.293596,2173.017864,4123.31146,-5.401587302,2162.807574,431.2184347,1731.589139,OK,2.890992461,OK,206.8108948,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 108,HPW,#NULL!,108,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,12-Aug-14,8,2,2014,2:00:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,17,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.2,0.65,7.96,1637.53,215,8.9,0.23,1.85,7.11,26.04,0.31,4.57,2.53,0,14.25,0.571527,0.180148,0.751675,-0.099275,1637.528,0.010964782,1299.600798,585.2293767,386.9547194,47.36778837,12.86152243,16.31716097,128.9030547,40.80322684,0,296.6969818,2120.248424,2332.02517,4452.273594,-4.756597752,2319.152683,466.4032634,1852.749419,OK,3.909918574,OK,223.4063249,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 109,HPW,#NULL!,109,#NULL!,CAMPK,1,Typical,1,Cactus,CLP abv Skin,PCACT,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,CLP,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,BURNED,2,PRE,1,,,,,19-Aug-14,8,2,2014,1:00:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,14,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.04,0.21,7.06,280.06,41.5,1.78,0.02,0.67,1.06,4.66,0.12,0.53,0.31,0,2.93,0.070029,0.018636,0.088665,0.122435,280.056,0.087096359,232.4351297,87.47171364,77.42574197,17.05956525,1.33050232,6.316320377,14.94936959,4.99960487,0,61.00506363,367.3263585,415.8097493,783.1361077,-6.190927776,414.3921506,80.95403809,333.4381125,OK,-5.174093253,OK,39.3527513,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 110,HPW,#NULL!,110,#NULL!,HIGHPK,3,,#NULL!,Hill,,HILL,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,19-Aug-14,8,2,2014,1:20:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,17,#NULL!,#NULL!,#NULL!,,,,,,,,,,4.85,0.25,8,1589.44,205,10.97,0.2,2.12,6.34,23.66,0.29,3.5,0.09,0,15.51,0.020331,0.1553,0.175631,0.072869,1589.443,0.01,1180.638723,522.0325036,477.2557533,54.22230634,11.08751933,15.26444091,98.722252,1.451498188,0,322.9312413,2027.812432,2245.246805,4273.059237,-5.088494231,2234.149286,423.1049914,1811.044294,OK,4.204574828,OK,213.6193784,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
HPW 111,HPW,#NULL!,111,#NULL!,HIGHPK,3,,#NULL!,Skin,,SKIN,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,TRIB,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,PRE,1,,,BURNED,PRE,19-Aug-14,8,2,2014,12:30:00 PM,#NULL!,#NULL!,#NULL!,,,NORM,#NULL!,15,#NULL!,#NULL!,#NULL!,,,,,,,,,,3.06,0.61,7.94,1651.12,217,8.97,0.23,1.81,7.13,25.83,0.29,4.48,2.3,0,14.23,0.51957,0.180148,0.699718,-0.093318,1651.124,0.011481536,1289.021956,586.8751286,390.2605376,46.34472599,12.86152243,15.26444091,126.3644826,37.09384258,0,296.280565,2126.127331,2325.375352,4451.502683,-4.475972169,2312.502348,459.7388901,1852.763458,OK,2.819129463,OK,223.1175109,,,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,0
