IDNo,Site,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 995,Chambers Reservoir,CBRR,1-Sep-21,NORM,5,0.7,2.6,7.02,341.2,43.21,1.55,0.06,0.92,1,5.51,0.07,0.45,0.04,0,3.54
FCW 1007,Chambers Reservoir,CBRR,8-Sep-21,NORM,5.1,1000.3,0.98,6.98,382.51,61.43,1.66,0.01,1.31,1.64,10.32,0.06,1.7,0.03,0,3.4
FCW 1055,Chambers Reservoir,CBRR,15-Sep-21,NORM,5.8,1.12,1.08,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32
FCW 1095,Chambers Reservoir,CBRR,22-Sep-21,NORM,3.6,,0.91,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48
FCW 1107,Chambers Reservoir,CBRR,28-Sep-21,NORM,5,,0.72,7.08,391.67,43.46,1.57,0.04,0.83,0.93,4.43,0.07,0.61,0.01,0,3.58
FCW 1174,Chambers Reservoir,CBRR,13-Oct-21,NORM,35.8,269.02,1.61,7.23,425.54,43.81,1.65,0.01,0.82,0.93,3.95,0.08,0.68,0.02,0,3.85
FCW 1213,Chambers Reservoir,CBRR,26-Oct-21,NORM,5.5,1.82,2.08,7.15,459.11,44.74,1.69,0.01,0.9,0.71,3.65,0.08,0.76,0.09,0,4.08
FCW 1448,Chambers Reservoir,CBRR,1-Jun-22,NORM,,5.3,10.23,7.32,425.4,55.35,1.91,0.02,1.13,0.68,7.11,0.07,1.27,1.91,0,3.88
FCW 1469,Chambers Reservoir,CBRR,7-Jun-22,NORM,,3.83,11.03,7.46,381.75,53.61,1.94,0.02,1.12,0.76,7.88,0.07,1.21,1.54,0,3.75
FCW 1488,Chambers Reservoir,CBRR,14-Jun-22,NORM,254.31,262.71,7.55,7.26,310.82,35.76,1.38,0.02,0.85,0.79,6.54,0.04,0.77,1.01,0,2.82
FCW 1521,Chambers Reservoir,CBRR,22-Jun-22,NORM,6.78,7.68,1.38,7.38,306.8,46.32,1.34,0.04,0.83,1.37,6.78,0.07,0.64,0.71,0,2.36
FCW 1535,Chambers Reservoir,CBRR,23-Jun-22,NORM,8.22,9.39,3.13,7.36,316.75,42.33,1.32,0.06,0.82,1.03,6.22,0.07,0.62,0.54,0,2.22
FCW 1548,Chambers Reservoir,CBRR,28-Jun-22,NORM,3.04,1.96,1.1,7.43,328.63,41.83,1.29,0.05,0.76,0.95,5.41,0.08,0.63,0.23,0,2.06
FCW 1580,Chambers Reservoir,CBRR,5-Jul-22,NORM,6.39,2.4,3.83,7.49,316.94,39.37,1.17,0.03,0.74,1.05,5.53,0.08,0.49,0.09,0,1.78
FCW 1610,Chambers Reservoir,CBRR,12-Jul-22,NORM,4.25,3,3.18,7.41,368.59,42.34,1.29,0.03,0.78,1.08,5.67,0.07,0.48,0.08,0,1.78
FCW 1649,Chambers Reservoir,CBRR,19-Jul-22,NORM,15.41,13.6,2.62,7.19,335.23,38.63,1.12,0.07,0.54,0.84,5.16,0.06,0.35,0.09,0,1.39
FCW 1670,Chambers Reservoir,CBRR,26-Jul-22,NORM,22.08,17.4,2.83,7.15,362.37,41.86,1.23,0.03,0.68,1.03,5.34,0.06,0.38,0.08,0,1.49
FCW 1693,Chambers Reservoir,CBRR,2-Aug-22,NORM,12.03,10.4,3.33,7.14,438.61,44.54,1.34,0.03,0.75,1.06,5.67,0.04,0.42,0.07,0,1.89
FCW 1715,Chambers Reservoir,CBRR,9-Aug-22,NORM,3.28,3.87,1.94,7.11,389.75,45.89,1.42,0.02,0.83,1.1,6.42,0.07,0.5,0.04,0,2.19
FCW 1727,Chambers Reservoir,CBRR,16-Aug-22,NORM,1.39,0.96,4.21,7.13,384.3,47.62,1.39,0.02,0.78,1.08,7.1,0.04,0.44,0.04,0,2.09
FCW 1749,Chambers Reservoir,CBRR,23-Aug-22,NORM,0.38,0.4,1.6,6.92,412.73,43.86,1.16,0.07,0.62,0.79,5.55,0.02,0.35,0.03,0,1.96
FCW 1757,Chambers Reservoir,CBRR,25-Aug-22,NORM,4.83,5.32,1.39,6.96,381.09,39.92,1.12,0.06,0.54,0.76,5.02,0.06,0.51,0.03,0,2.04
FCW 1788,Chambers Reservoir,CBRR,30-Aug-22,NORM,4.24,3.89,0.72,6.94,379.8,39.01,1.14,0.04,0.5,0.76,4.97,0.03,0.42,0.02,0,2.21
FCW 1810,Chambers Reservoir,CBRR,6-Sep-22,NORM,5.08,6.15,0.86,6.91,445.44,48.29,1.51,0.05,0.81,1.18,5.96,0.03,0.39,0.02,0,2.11
FCW 1841,Chambers Reservoir,CBRR,13-Sep-22,NORM,0.67,0.6,0.97,6.94,503.2,54.52,1.56,0.02,0.86,1.23,7.03,0.09,0.54,0.12,0,2.77
FCW 1873,Chambers Reservoir,CBRR,19-Sep-22,NORM,11.84,10.84,0.84,7.07,496.3,55.45,1.58,0.02,0.85,1.27,7.62,0.05,0.56,0.13,0,2.69
FCW 1899,Chambers Reservoir,CBRR,20-Sep-22,NORM,2.45,1.78,0.82,6.89,485.92,53.49,1.53,0.01,0.79,1.24,7.27,0.06,0.55,0.16,0,2.41
FCW 1930,Chambers Reservoir,CBRR,27-Sep-22,NORM,0.56,0.64,2.17,6.92,491.08,54.39,1.63,0.09,0.86,1.34,7.46,0.07,0.63,0.07,0,2.52
FCW 1951,Chambers Reservoir,CBRR,4-Oct-22,NORM,1.41,0.82,2.66,7.01,448.22,53.55,1.96,0.02,0.56,1.3,7.5,0.06,0.68,0.1,0,3.03
FCW 1979,Chambers Reservoir,CBRR,11-Oct-22,NORM,1.43,1.37,4.64,7.04,431.24,53.14,2.09,0.01,0.5,1.38,7.52,0.05,0.71,0.12,0,3.09
FCW 1992,Chambers Reservoir,CBRR,18-Oct-22,NORM,0.59,0.75,2.49,7.05,487.77,57.9,2.04,0.02,0.57,1.38,8.15,0.07,0.69,0.08,0,2.97
FCW 2023,Chambers Reservoir,CBRR,25-Oct-22,NORM,1.98,1.47,3.92,7.09,466.81,56.31,1.94,0.01,0.5,1.41,8.03,0.05,0.72,0.07,0,3.03
FCW 2035,Chambers Reservoir,CBRR,1-Nov-22,NORM,1.15,1.32,3.74,6.97,447.28,56.43,1.99,0.02,0.79,1.52,8.31,0.04,0.73,0.07,0,2.98
FCW 214,Chambers Outflow,CHD,16-Nov-20,NORM, , ,,7.55,445.98,50.64,2,0.02,0.87,1.36,5.56,0.07,0.4,0.08,0,2.73
FCW 263,Chambers Outflow,CHD,19-Apr-21,NORM,2.4,1.92,,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54
FCW 282,Chambers Outflow,CHD,26-Apr-21,NORM,1.5,0,,6.99,505.86,56.8,2.55,0.02,0.97,1.36,6.74,0.06,0.75,0.04,0,2.5
FCW 322,Chambers Outflow,CHD,3-May-21,NORM,1,0.11,,7.1,470.21,64.36,2.33,0.02,0.84,1.34,6.04,0.07,0.99,0.26,0,8.42
FCW 346,Chambers Outflow,CHD,10-May-21,NORM,1.25,2,,7.02,465.58,62.25,1.01,0.02,0.77,1.16,5.74,0.06,1.53,0.66,0.05,9.4
FCW 382,Chambers Outflow,CHD,17-May-21,NORM,3,8,,7.46,484.32,64.08,1.47,0.03,0.93,1.29,6.07,0.05,1.66,0.51,0.27,8.52
FCW 395,Chambers Outflow,CHD,24-May-21,NORM,1.9,0,,7.18,443.67,64.14,1.97,0.02,0.92,2.02,7.22,0.09,1.02,0.52,0.28,10.45
FCW 426,Chambers Outflow,CHD,1-Jun-21,NORM,2,0,,7.17,436.78,64.81,1.71,0.03,0.98,1.43,7.03,0.04,1.01,0.37,0,6.71
FCW 450,Chambers Outflow,CHD,2-Jun-21,NORM, ,0,2.1,7.23,378.79,58.52,1.69,0.02,1.01,1.43,7.21,0.04,0.92,0.28,0,6.65
FCW 451,Chambers Outflow,CHD,2-Jun-21,DUPLICATE, ,0,2.01,7.22,373.8,55.85,1.7,0.03,1,1.43,7.17,0.04,0.93,0.29,0,6.58
FCW 454,Chambers Outflow,CHD,7-Jun-21,NORM,3.75, ,,6.93,375.91,51.22,1.68,0.08,0.94,1.24,6.28,0.04,0.91,0.25,0,5.84
FCW 491,Chambers Outflow,CHD,9-Jun-21,NORM,3.5,2.11,1.54,7.02,332.64,47.93,1.46,0.01,0.84,1.17,6.12,0.03,0.77,0.3,0,4.7
FCW 492,Chambers Outflow,CHD,9-Jun-21,DUPLICATE,3.8,3.06,1.56,7.01,350.57,49.31,1.47,0.01,0.83,1.18,6.25,0.03,0.64,0.29,0,4.7
FCW 520,Chambers Outflow,CHD,16-Jun-21,NORM,2.9,2,0.96,6.81,346.47,46.47,1.53,0.04,0.86,1.07,5.98,0.05,0.61,0.11,0,4.18
FCW 557,Chambers Outflow,CHD,23-Jun-21,NORM,5,0.8,,7.14,344.81,48.59,1.52,0.03,0.83,1.06,6.21,0.05,0.58,0.09,0,3.99
FCW 617,Chambers Outflow,CHD,30-Jun-21,NORM,8,3.6,1.05,7.1,356.2,46.71,1.65,0.05,0.87,1.04,6.56,0.09,0.51,0.01,0,3.47
FCW 618,Chambers Outflow,CHD,30-Jun-21,DUPLICATE,8,2.9,1.01,7.12,355.33,45.55,1.61,0.04,0.85,1.02,6.5,0.08,0.5,0.01,0,3.39
FCW 630,Chambers Outflow,CHD,7-Jul-21,NORM,10, ,1.22,6.98,383.65,52.49,1.9,0.04,0.98,1.27,7.41,0.04,0.61,0.17,0,3.76
FCW 666,Chambers Outflow,CHD,14-Jul-21,NORM,2.5,0.73,1.29,7.05,421.53,52.25,1.83,0.02,0.94,1.17,7.15,0.06,0.49,0.17,0,3.41
FCW 744,Chambers Outflow,CHD,28-Jul-21,NORM,3.5,3,2.02,7.03,433.83,51.21,1.81,0.02,0.93,1.09,7.02,0.04,0.48,0.16,0,3.31
FCW 823,Chambers Outflow,CHD,4-Aug-21,NORM,4.75,5.1,1.72,6.99,392.59,47.02,1.58,0.04,0.91,1.05,6.23,0.07,0.54,0.03,0,3.17
FCW 880,Chambers Outflow,CHD,11-Aug-21,NORM,3.5,,1.91,7.17,376.66,47.69,1.51,0.02,0.85,1.05,6.21,0.08,0.47,0.03,0,3.4
FCW 898,Chambers Outflow,CHD,18-Aug-21,NORM,3,2.35,1.76,6.98,376.8,45.12,1.55,0.04,0.85,1.07,5.61,0.05,0.46,0.01,0,3.21
FCW 970,Chambers Outflow,CHD,25-Aug-21,NORM,2.75,59.42,1.26,6.92,359.27,45.5,1.58,0.04,0.91,1.12,5.22,0.04,0.51,0.05,0,3.33
FCW 996,Chambers Outflow,CHD,1-Sep-21,NORM,3,1.21,1.11,7.02,355.4,44.31,1.59,0.04,0.94,1.07,5.4,0.04,0.54,0.06,0,3.41
FCW 1008,Chambers Outflow,CHD,8-Sep-21,NORM,5.6,,1.38,6.93,402.33,45.38,1.61,0.01,0.88,1.19,5.18,0.03,0.57,0.11,0,3.25
FCW 1056,Chambers Outflow,CHD,15-Sep-21,NORM,3.8,,1.37,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3
FCW 1096,Chambers Outflow,CHD,22-Sep-21,NORM,3.5,,1.47,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63
FCW 1108,Chambers Outflow,CHD,28-Sep-21,NORM,3.1,,1.15,7.02,402.75,42.77,1.6,0.03,0.85,0.95,4.46,0.07,0.61,0.02,0,3.61
FCW 1175,Chambers Outflow,CHD,13-Oct-21,NORM,6.9,10,2.23,7.2,414.3,44.97,1.74,0.04,0.82,0.87,4.23,0.1,0.82,0.02,0,3.87
FCW 1214,Chambers Outflow,CHD,26-Oct-21,NORM,3.5,1.82,2.41,7.19,468.46,46.51,1.74,0.01,0.92,0.73,3.73,0.07,0.75,0.09,0,4.12
FCW 1449,Chambers Outflow,CHD,1-Jun-22,NORM,,2.83,3.31,7.37,441.99,59.29,2.05,0.01,1.18,1.21,7.24,0.02,1.12,1.77,0,3.75
FCW 1450,Chambers Outflow,CHD,1-Jun-22,DUPLICATE,,2.37,,7.29,428.74,58.33,2.08,0.01,1.14,1.22,7.05,0.02,1.13,1.85,0,3.85
FCW 1470,Chambers Outflow,CHD,7-Jun-22,NORM,,3.2,3.51,7.25,394.04,55.87,2,0.01,1.18,1.26,7.22,0.02,1.12,1.66,0,3.78
FCW 1489,Chambers Outflow,CHD,14-Jun-22,NORM,6.51,7.4,7.05,7.26,324.75,45.42,1.48,0.06,0.91,1.19,5.83,0.04,0.96,1.11,0,2.94
FCW 1522,Chambers Outflow,CHD,22-Jun-22,NORM,3.51,2.6,3.76,7.37,319.01,45.77,1.42,0.09,0.84,1.26,6.67,0.05,0.65,0.79,0,2.32
FCW 1536,Chambers Outflow,CHD,23-Jun-22,NORM,0.99,1.58,2.93,7.41,376.25,47.84,1.45,0.07,0.88,1.12,6.55,0.04,0.62,0.62,0,2.22
FCW 1549,Chambers Outflow,CHD,28-Jun-22,NORM,3.45,0.6,1.75,7.41,371.34,44.39,1.49,0.07,0.86,1,6.42,0.05,0.56,0.62,0,2.13
FCW 1581,Chambers Outflow,CHD,5-Jul-22,NORM,3.97,1.2,1.13,7.42,438.26,51.35,1.5,0.04,0.92,1.22,7,0.08,0.56,0.71,0,2.12
FCW 1611,Chambers Outflow,CHD,12-Jul-22,NORM,4.25,3,1.18,7.33,428.11,49.34,1.58,0.04,0.91,1.03,6.42,0.04,0.54,0.33,0,2.01
FCW 1650,Chambers Outflow,CHD,19-Jul-22,NORM,5.46,4,2.4,7.26,445.65,48.19,1.39,0.06,0.81,1.04,6.23,0.02,0.44,0.43,0,1.7
FCW 1671,Chambers Outflow,CHD,26-Jul-22,NORM,11.39,11.2,2.79,7.15,479.75,47.55,1.41,0.04,0.8,0.98,6.03,0.02,0.51,0.41,0,1.84
FCW 1694,Chambers Outflow,CHD,2-Aug-22,NORM,5.02,5.2,3.05,7.14,437.01,52.57,1.77,0.04,0.9,1.26,7.56,0.02,0.53,0.33,0,2
FCW 1716,Chambers Outflow,CHD,9-Aug-22,NORM,4.33,3.56,1.71,7.08,541.61,59.23,1.87,0.04,1.03,1.22,8.28,0.04,0.54,0.2,0,2.38
FCW 1728,Chambers Outflow,CHD,16-Aug-22,NORM,6.59,5.18,2.58,7.05,377.49,49.86,1.49,0.02,0.86,1.15,7.17,0.06,0.55,0.26,0,2.18
FCW 1750,Chambers Outflow,CHD,23-Aug-22,NORM,1.75,0.5,1.34,7.08,437.56,41.89,1.16,0.07,0.59,0.78,5.07,0.02,0.44,0.09,0,1.92
FCW 1758,Chambers Outflow,CHD,25-Aug-22,NORM,2.41,2.47,0.55,6.95,374.02,40.23,1.12,0.06,0.56,0.79,5.02,0.06,0.53,0.23,0,2.06
FCW 1789,Chambers Outflow,CHD,30-Aug-22,NORM,5.46,5,0.97,6.93,406.82,41.58,1.08,0.04,0.58,0.72,4.88,0.03,0.54,0.22,0,1.99
FCW 1790,Chambers Outflow,CHD,30-Aug-22,DUPLICATE,5.58,4.74,0.98,6.94,424.35,41.27,1.06,0.05,0.6,0.7,4.78,0.04,0.55,0.2,0,1.98
FCW 1811,Chambers Outflow,CHD,6-Sep-22,NORM,0.68,0.3,1.44,6.91,479.33,51.23,1.7,0.03,0.98,1.26,6.79,0.05,0.59,0.21,0,2.61
FCW 1842,Chambers Outflow,CHD,13-Sep-22,NORM,0.48,0.2,5.24,6.94,485.58,55.72,1.43,0.09,0.84,1.3,7.57,0.06,0.54,0.12,0,2.55
FCW 1874,Chambers Outflow,CHD,19-Sep-22,NORM,0.89,0.3,0.96,6.98,496.62,54.27,1.57,0.02,0.85,1.27,6.99,0.06,0.56,0.15,0,2.72
FCW 1900,Chambers Outflow,CHD,20-Sep-22,NORM,0.17,0.19,1.38,6.86,490.89,54.07,1.48,0.05,0.79,1.26,7.77,0.05,0.52,0.11,0,2.31
FCW 1931,Chambers Outflow,CHD,27-Sep-22,NORM,0.53,0.57,3.41,6.91,491.11,55.79,1.57,0.07,0.85,1.43,7.45,0.06,0.62,0.08,0.12,2.52
FCW 1952,Chambers Outflow,CHD,4-Oct-22,NORM,0.85,0.96,3.42,7.07,495.62,57.93,2.01,0.02,0.61,1.43,7.93,0.06,0.69,0.04,0,3.01
FCW 1980,Chambers Outflow,CHD,11-Oct-22,NORM,0.77,0.93,5.24,7.03,449.16,56.02,2.13,0.02,0.6,1.55,8.02,0.05,0.73,0.04,0,3.13
FCW 1993,Chambers Outflow,CHD,18-Oct-22,NORM,0.51,0.2,2.91,7.06,421.63,51.76,2.1,0.03,0.52,1.24,7.12,0.06,0.71,0.09,0,3.04
FCW 2024,Chambers Outflow,CHD,25-Oct-22,NORM,1.15,1.05,0.7,7,461.23,55.61,2.14,0.02,0.54,1.31,7.45,0.04,0.74,0.08,0,2.97
FCW 2036,Chambers Outflow,CHD,1-Nov-22,NORM,0.84,0.6,3.84,6.96,453.57,52.32,1.91,0.03,0.78,1.47,7.43,0.04,0.7,0.06,0,2.98
FCW 633,Comanche Inflow,COMI,9-Jul-21,NORM,9, ,0.43,6.74,123.96,18.97,1.36,0.02,0.24,0.46,2.36,0.02,0.21,0.27,0,1.33
FCW 1063,Comanche Inflow,COMI,21-Sep-21,NORM,2.1,0.38,0.17,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96
FCW 1550,Comanche Inflow,COMI,29-Jun-22,NORM,0.53,0.91,0.36,7.01,165.11,21.32,1.25,0.04,0.28,0.51,2.88,0.02,0.23,0.56,0,0.67
FCW 1619,Comanche Inflow,COMI,18-Jul-22,NORM,2.61,2,0.58,7.01,175.41,19.77,1.04,0.01,0.3,0.45,2.3,0.02,0.15,0.48,0,0.6
FCW 1791,Comanche Inflow,COMI,31-Aug-22,NORM,0.35,0.4,1.2,6.97,173.18,19.19,0.98,0.02,0.27,0.47,2.23,0.02,0.13,0.22,0,0.58
FCW 1932,Comanche Inflow,COMI,28-Sep-22,NORM,0.28,0.41,0.22,6.87,250,32.83,1.87,0.04,0.39,0.84,4.11,0.02,0.35,0.81,0.13,1.45
FCW 1933,Comanche Inflow,COMI,28-Sep-22,DUPLICATE,0.31,0.4,0.27,6.85,259.54,33.96,2.08,0.02,0.44,0.9,4.25,0.02,0.4,0.9,0.12,1.47
FCW 636,Comanche Outflow,COMO,9-Jul-21,NORM,12, ,2.33,6.77,154.21,23.99,1.47,0.04,0.32,0.57,2.71,0.02,0.2,0.36,0,1.77
FCW 1066,Comanche Outflow,COMO,21-Sep-21,NORM,10,4.9,2.68,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36
FCW 1553,Comanche Outflow,COMO,29-Jun-22,NORM,5.65,2.31,7.2,7.06,147.25,21.17,1.32,0.01,0.33,0.6,2.89,0.05,0.23,0.6,0,0.91
FCW 1622,Comanche Outflow,COMO,18-Jul-22,NORM,8.74,4,5.1,6.93,194.56,21.71,1.08,0.05,0.34,0.48,2.43,0.02,0.17,0.23,0,0.72
FCW 1795,Comanche Outflow,COMO,31-Aug-22,NORM,2.73,3.2,2.86,6.95,305.49,27.48,1.31,0.02,0.44,0.67,3,0.02,0.16,0.11,0,0.4
FCW 1937,Comanche Outflow,COMO,28-Sep-22,NORM,0.83,1,1.45,6.84,309.91,38.85,2.37,0.04,0.58,0.99,4.54,0.03,0.5,0.38,0.14,1.88
FCW 634,Comanche Reservoir,COMR,9-Jul-21,NORM,13, ,0.29,6.75,171.14,24.5,1.54,0.1,0.35,0.59,2.86,0.02,0.24,0.35,0,1.94
FCW 1064,Comanche Reservoir,COMR,21-Sep-21,NORM,10.1,2.5,0.68,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47
FCW 1551,Comanche Reservoir,COMR,29-Jun-22,NORM,6.27,7.2,5.53,7.04,167.07,22.54,1.35,0.04,0.36,0.59,2.98,0.06,0.26,0.47,0,0.98
FCW 1620,Comanche Reservoir,COMR,18-Jul-22,NORM,15.43,16.6,12.46,7.02,235,27.12,1.57,0.01,0.41,0.66,3.42,0.02,0.2,0.25,0,0.87
FCW 1792,Comanche Reservoir,COMR,31-Aug-22,NORM,5.75,3.53,1.91,6.99,288.59,32.66,1.7,0.01,0.54,0.72,4.56,0.02,0.22,0.11,0,0.89
FCW 1793,Comanche Reservoir,COMR,31-Aug-22,BLANK,0.01,0.01,0,5.79,3.04,0.77,0.01,0,0,0.01,0.01,0,0,0,0,0.01
FCW 1934,Comanche Reservoir,COMR,28-Sep-22,NORM,1.65,2.35,1.84,6.94,370.83,40.14,2.28,0.05,0.58,1.08,4.68,0.02,0.51,0.32,0,1.78
FCW 1518,Poudre at ELC ,ELC,22-Jun-22,NORM,11.55,15,1.13,7.23,880.51,164.56,6.33,0.07,1.02,4.15,18.2,0.04,5.49,1.03,0,23.21
FCW 1766,Poudre at ELC ,ELC,25-Aug-22,NORM,34.98,41.51,25.91,7.6,2360.22,600.6,25.46,0.11,2.47,16.54,61.12,0.48,21.7,1.39,0,116.81
FCW 1882,Poudre at ELC ,ELC,19-Sep-22,NORM,6.47,4.98,5.49,7.82,2787.5,503.29,17.88,0.39,1.66,11.02,44.61,0.13,15.38,1.63,0,77.31
FCW 635,Hourglass Inflow,HORI,9-Jul-21,NORM,8, ,0.7,6.66,108.86,16.55,1.08,0.01,0.26,0.39,1.79,0.02,0.13,0.26,0,1.19
FCW 1065,Hourglass Inflow,HORI,21-Sep-21,NORM,2.1,0.1,0.18,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48
FCW 1552,Hourglass Inflow,HORI,29-Jun-22,NORM,2.02,1.2,0.29,6.88,150.26,18.78,1,0.02,0.28,0.48,2.15,0.06,0.16,0.57,0,0.72
FCW 1621,Hourglass Inflow,HORI,18-Jul-22,NORM,0.6,0.2,0.57,6.77,178.45,21.01,1.07,0.03,0.33,0.49,2.44,0.05,0.16,0.26,0,0.66
FCW 1794,Hourglass Inflow,HORI,31-Aug-22,NORM,0.96,1.1,0.43,6.82,138.2,17.98,0.98,0.02,0.29,0.44,2.21,0.03,0.11,0.15,0,0.7
FCW 1935,Hourglass Inflow,HORI,28-Sep-22,NORM,0.16,0.2,0.34,6.85,159.22,22.66,1.44,0,0.37,0.66,2.93,0.03,0.2,0.7,0,1.23
FCW 1936,Hourglass Inflow,HORI,28-Sep-22,BLANK,,,0,5.66,5.5,1.4,0.06,0.01,0,0.01,0.03,0,0.04,0,0,0.01
FCW 100,Hourglass Outflow,HORO,21-Aug-20,NORM, ,26.4,,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89
FCW 631,Hourglass Outflow,HORO,9-Jul-21,NORM,14, ,1.7,6.74,116.01,18.61,1.12,0.04,0.32,0.44,2.31,0.02,0.29,0.11,0,1.38
FCW 1068,Hourglass Outflow,HORO,21-Sep-21,NORM,3.1,2.5,2.69,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64
FCW 1554,Hourglass Outflow,HORO,29-Jun-22,NORM,2.21,3.33,2.3,6.93,123.45,18.72,1.08,0.02,0.38,0.54,2.39,0.06,0.24,0.22,0,0.9
FCW 1624,Hourglass Outflow,HORO,18-Jul-22,NORM,2.05,1.4,1.2,7,240.34,29.07,1.62,0.01,0.41,0.76,3.67,0.02,0.24,0.14,0,0.97
FCW 1939,Hourglass Outflow,HORO,28-Sep-22,NORM,5.52,3.78,11.07,6.94,443.05,38.7,1.69,0.02,0.49,0.68,3.45,0.02,0.4,0.33,0,1.02
FCW 632,Hourglass Reservoir,HORR,9-Jul-21,NORM,14, ,1.36,6.71,110.49,17.49,1.1,0.03,0.31,0.44,2.08,0.02,0.16,0.18,0,1.36
FCW 1067,Hourglass Reservoir,HORR,21-Sep-21,NORM,3.5,0.58,3.02,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62
FCW 1555,Hourglass Reservoir,HORR,29-Jun-22,NORM,0.41,0.82,1.93,7.09,142.35,19.12,0.99,0.03,0.34,0.52,2.29,0.07,0.24,0.21,0,0.82
FCW 1623,Hourglass Reservoir,HORR,18-Jul-22,NORM,4.45,2,1.5,6.89,220.67,26.56,1.6,0.01,0.42,0.73,3.39,0.02,0.23,0.14,0,0.95
FCW 1796,Hourglass Reservoir,HORR,31-Aug-22,NORM,5.22,4.2,4.09,6.97,330.57,32.61,1.78,0.02,0.49,0.75,3.81,0.02,0.18,0.09,0,0.89
FCW 1797,Hourglass Reservoir,HORR,31-Aug-22,DUPLICATE,5.65,4.4,4.07,6.96,326.28,32.11,1.79,0.02,0.5,0.77,3.79,0.02,0.19,0.08,0,0.87
FCW 1938,Hourglass Reservoir,HORR,28-Sep-22,NORM,2.29,1.61,12.31,6.92,349.61,33.88,1.8,0.02,0.54,0.85,3.49,0.04,0.27,0.22,0,0.89
FCW 445,Joe Wright Inlet,JOEI,2-Jun-21,NORM, ,1.77,0.14,6.99,275.59,32.21,1.22,0.02,0.4,1.16,4.2,0.02,1.02,0.02,0,1.35
FCW 485,Joe Wright Inlet,JOEI,9-Jun-21,NORM,3.9,2,0.18,6.96,269.76,32.2,1.07,0,0.49,1,4.33,0.06,0.26,0.18,0,1.98
FCW 513,Joe Wright Inlet,JOEI,16-Jun-21,NORM,2.5,3,0.27,6.82,299.66,40.87,1.21,0.02,0.5,1.18,5.05,0.1,0.32,0.12,0,3.46
FCW 514,Joe Wright Inlet,JOEI,16-Jun-21,DUPLICATE,2.5,1.01,0.25,6.78,304.41,42.31,1.23,0.01,0.5,1.14,5.04,0.11,0.33,0.12,0,3.54
FCW 550,Joe Wright Inlet,JOEI,23-Jun-21,NORM,1.6,9.4,,7.15,376.97,50.43,1.27,0.02,0.45,1.23,5.98,0.07,0.3,0.21,0,4.53
FCW 611,Joe Wright Inlet,JOEI,30-Jun-21,NORM,9.5,1.6,0.36,6.97,388.1,47.05,1.31,0.01,0.38,1.33,6.61,0.13,0.28,0.13,0,4.44
FCW 623,Joe Wright Inlet,JOEI,7-Jul-21,NORM,11,0.9,0.35,6.95,407.85,54.74,1.4,0.02,0.36,1.39,7.18,0.11,0.21,0.36,0,5.44
FCW 660,Joe Wright Inlet,JOEI,14-Jul-21,NORM,2.5, ,0.52,7.08,454.32,56.67,1.53,0.04,0.37,1.42,7.36,0.07,0.27,0.39,0,6.1
FCW 738,Joe Wright Inlet,JOEI,28-Jul-21,NORM,1,0,0.23,7.09,398.9,53.21,1.47,0.02,0.34,1.37,7.04,0.07,0.25,0.27,0,5.98
FCW 817,Joe Wright Inlet,JOEI,4-Aug-21,NORM,2.5,,0.27,7.12,422.1,51.38,1.48,0.01,0.47,1.16,5.89,0.13,0.29,0.38,0,6.34
FCW 874,Joe Wright Inlet,JOEI,11-Aug-21,NORM,3,5.83,0.21,7.23,454.77,62.74,1.65,0.02,0.47,1.58,8.71,0.14,0.3,0.55,0,7.2
FCW 892,Joe Wright Inlet,JOEI,18-Aug-21,NORM,2.5,4.95,0.37,7.18,480.29,68.19,1.8,0.05,0.55,1.69,9.15,0.17,0.32,0.59,0,7.9
FCW 963,Joe Wright Inlet,JOEI,25-Aug-21,NORM,3,2.41,0.23,7.26,482.02,67.53,1.81,0.04,0.55,1.6,8.79,0.14,0.31,0.71,0,7.94
FCW 964,Joe Wright Inlet,JOEI,25-Aug-21,DUPLICATE,3.25,0.8,0.23,7.28,466.49,65.75,1.8,0.04,0.54,1.51,8.83,0.1,0.31,0.71,0,7.92
