IDNo,Site,SiteDescr,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 55,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,13-Jul-15,NORM,,,,3.02,0.3,7.56,320.09,35.8,1.42,0.02,0.72,0.87,4.37,0.05,0.35,0.81,0,1.61
FCW 59,Poudre Below Rustic,,PBR,13-Jul-15,NORM,,,,3.3,0.27,7.58,317.29,39.1,1.66,0.02,0.62,1.01,4.44,0.09,0.38,0.62,0,2.43
FCW 62,Poudre Above Joe Wright,,PJW,13-Jul-15,NORM,,,,3.75,0.33,7.4,222.6,32.2,1.34,0.02,0.49,0.8,3.78,0.14,0.2,0.92,0,3.04
FCW 56,Poudre Above North Fork,,PNF,13-Jul-15,NORM,,,,3.91,0.33,7.68,293.24,51.2,2.48,0.02,0.69,1.4,5.73,0.13,0.96,0.77,0,3.07
FCW 61,Poudre South Fork,,SFM,13-Jul-15,NORM,,,,3.81,0.31,7.58,343.44,41.9,1.99,0.02,0.64,1.12,4.73,0.11,0.49,0.65,0,2.66
FCW 71,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,17-Aug-15,NORM,,,,2.59,0.31,6.88,332.05,38.1,1.53,0.02,0.78,0.99,5.11,0.06,0.29,0.56,0,1.91
FCW 65,Poudre Below Rustic,,PBR,17-Aug-15,NORM,,,,2.5,0.23,7.46,371.43,44.3,1.76,0.01,0.7,1.19,5.48,0.13,0.4,0.45,0,3.48
FCW 66,Poudre Above Joe Wright,,PJW,17-Aug-15,NORM,,,,3.11,0.26,6.7,193.11,40.6,1.4,0.02,0.61,1,5.26,0.19,0.27,0.7,0,5.02
FCW 69,Poudre Above North Fork,,PNF,17-Aug-15,NORM,,,,3.5,0.3,6.97,294.18,61.9,2.57,0.03,0.8,1.57,6.79,0.13,0.94,0.19,0,3.69
FCW 72,Poudre South Fork,,SFM,17-Aug-15,NORM,,,,3.01,0.27,6.9,216.89,48.3,2.04,0.03,0.74,1.25,5.5,0.07,0.5,0.19,0,3.43
FCW 75,Poudre Below Rustic,,PBR,14-Sep-15,NORM,,,,2.01,0.22,7.81,613.37,66.4,3,0.03,1.05,1.94,7.6,0.13,1.33,0.48,0,3.58
FCW 80,Poudre Above Joe Wright,,PJW,14-Sep-15,NORM,,,,2.09,0.2,7.56,349.1,39.8,2.07,0.02,0.56,0.96,4.18,0.16,0.34,0.34,0,3.09
FCW 73,Poudre Above North Fork,,PNF,14-Sep-15,NORM,,,,4.68,0.26,7.45,699.7,79.7,3.9,0.04,1.01,2.25,9.3,0.17,2.1,0.43,0,4.31
FCW 78,Poudre South Fork,,SFM,14-Sep-15,NORM,,,,2.21,0.2,7.82,587.32,65.2,3.15,0.03,0.89,1.8,6.99,0.15,1.07,0.37,0,3.26
FCW 82,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,12-Oct-15,NORM,,,,2.64,0.13,7.8,618.24,62.3,2.38,0.02,0.94,1.51,7.96,0.07,0.97,0.03,0,2.24
FCW 86,Poudre Below Rustic,,PBR,12-Oct-15,NORM,,,,1.83,0.11,7.85,682.37,74.5,3.57,0.03,1.11,2.17,7.9,0.15,2.44,0.04,0,3.75
FCW 85,Poudre Above Joe Wright,,PJW,12-Oct-15,NORM,,,,1.91,0.13,7.62,374.21,45.5,2.26,0.02,0.62,1.11,4.77,0.15,0.54,0.17,0,3.49
FCW 81,Poudre Above North Fork,,PNF,12-Oct-15,NORM,,,,2.17,0.12,7.96,897.5,98.2,5,0.05,1.12,2.77,10.71,0.2,3.66,0.09,0,5.04
FCW 84,Poudre South Fork,,SFM,12-Oct-15,NORM,,,,2.1,0.09,7.84,660.53,72,3.54,0.03,0.92,1.94,7.2,0.16,1.52,0.01,0,3.51
FCW 90,JWC-Joe Wright @ Aspen Glen Campground,Joe Wright Crk Below Chambers,JWC,9-Nov-15,NORM,,,,2.69,0.15,7.85,710.02,74.5,3.11,0.02,1.17,1.71,9.27,0.08,1.36,0.13,0,2.41
FCW 93,Poudre Below Rustic,,PBR,9-Nov-15,NORM,,,,1.67,0.13,7.88,694.41,75.6,3.96,0.03,1.2,2.27,8.01,0.13,1.94,0.27,0,3.65
FCW 95,Poudre Above Joe Wright,,PJW,9-Nov-15,NORM,,,,1.9,0.24,7.65,394.29,45.1,2.88,0.02,0.89,1.14,4.65,0.13,0.55,0.69,0,2.44
FCW 91,Poudre Above North Fork,,PNF,9-Nov-15,NORM,,,,1.87,0.2,8.02,1014.81,115.1,6.03,0.05,1.12,3.25,12.25,0.21,4.86,0.43,0,5.83
FCW 96,Poudre South Fork,,SFM,9-Nov-15,NORM,,,,1.75,0.14,7.89,731.51,79.1,3.95,0.01,0.99,2.18,7.79,0.15,2.37,0.27,0,3.91
FCW 100,Hourglass Outflow,Hourglass Outlet,HORO,21-Aug-20,NORM,,26.4,,2.78,0.23,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89
FCW 164,Barnes Meadow Outflow,Barnes Meadow Reservoir outflow,BMD,20-Oct-20,NORM,,,,9.61,0.5,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75
FCW 161,Long Draw Reservoir,Long Draw,LNGR,20-Oct-20,NORM,,,,2.39,0.34,6.9,203.46,27.52,1.01,0.02,0.59,1.19,1.94,0.22,0.14,0.09,0,1.98
FCW 162,Peterson Reservoir,PTRR_102020,PTRR,20-Oct-20,NORM,,,,9.37,0.48,6.92,268.85,40.12,1.35,0.01,1.07,0.47,4.06,0.02,0.29,0.16,0,7.34
FCW 220,Poudre Above North Fork,,PNF,16-Nov-20,NORM,,,,1.8,0.22,7.89,799.61,102.85,4.14,0.01,1.17,2.25,11.61,0.09,2.31,0.45,0,5.59
FCW 240,Barnes Meadow Outflow,BMD_040721,BMD,7-Apr-21,NORM,6,,,10.2,0.4,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07
FCW 232,Poudre Above Joe Wright,PJW_040721,PJW,7-Apr-21,NORM,1.9,9.52,,5.48,0.63,7.18,350.32,41.68,1.78,0.05,1.21,1.09,4.01,0.09,0.61,0.83,0,2.19
FCW 237,JWC-Joe Wright @ Aspen Glen Campground,JWC_040721,JWC,7-Apr-21,NORM,,,,2.64,0.23,7.39,482.68,52,2.15,0.01,0.8,1.08,5.55,0.04,0.55,0.1,0,2.5
FCW 227,Poudre Below Rustic,PBR_040721,PBR,7-Apr-21,NORM,,,,1.86,0.19,7.31,586.51,63.56,5.12,0.02,1.04,2.56,4.4,0.11,0.79,0.06,0.07,2.51
FCW 229,Poudre Above North Fork,PNF_040721,PNF,7-Apr-21,NORM,,,,4.44,0.74,7.82,1398.41,135.9,3.67,0.09,1.08,3.1,13.74,0.05,0.68,0.58,0,5.47
FCW 225,Poudre Below S. Fork,PSF_040721,PSF,7-Apr-21,NORM,,,,4.99,0.31,7.34,550.29,92.89,2.28,0,1.28,2.77,9.9,0.07,1.42,0.12,0,12.23
FCW 238,Poudre South Fork,SFM_040721,SFM,7-Apr-21,NORM,,,,6.44,0.52,7.36,404.05,50.82,3,0.08,0.78,1.29,5.01,0.08,0.76,0.61,0,3.56
FCW 241,Barnes Meadow Outflow,BMD_041221,BMD,12-Apr-21,NORM,,2.88,,8.83,0.56,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85
FCW 243,Poudre Above Joe Wright,PJW_041221,PJW,12-Apr-21,NORM,1.5,0.98,,6.08,0.62,7.08,347.11,42.65,1.98,0.01,1.06,1.11,4.02,0.11,0.69,0.29,0,2.21
FCW 242,JWC-Joe Wright @ Aspen Glen Campground,JWC_041221,JWC,12-Apr-21,NORM,,,,2.93,0.18,7.26,503.64,49.26,1.82,0.02,0.72,1.11,5.09,0.05,0.8,0.11,0,2.52
FCW 245,Poudre Below Rustic,PBR_041221,PBR,12-Apr-21,NORM,,,,4.53,0.27,7.45,624.54,64.23,2.18,0.01,0.97,1.74,6.21,0.07,1.39,0.08,0,3.05
FCW 248,Poudre Above North Fork,PNF_041221,PNF,12-Apr-21,NORM,,,,4.87,0.25,7.55,743.27,91.12,4.21,0.01,1.12,2.09,10.98,0.11,2.56,0.43,0,5.39
FCW 247,Poudre Below S. Fork,PSF_041221,PSF,12-Apr-21,NORM,,,,4.88,0.33,7.36,503.4,68.96,2.66,0.01,0.94,1.85,6.26,0.11,1.41,0.13,0,3.3
FCW 246,Poudre South Fork,SFM_041221,SFM,12-Apr-21,NORM,,,,5.19,0.48,7.33,393.02,49.64,2.89,0.01,0.8,1.22,5.03,0.08,0.81,0.62,0,3.64
FCW 250,Chambers Inlet,CBRI_041321,CBRI,13-Apr-21,NORM,1.8,0,,3.18,0.3,7.3,460.9,54.26,1.96,0.01,0.85,1.22,5.94,0.08,0.54,0.09,0,1.95
FCW 262,Barnes Meadow Outflow,BMD_041921,BMD,19-Apr-21,NORM,12,3.75,,9.67,0.77,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01
FCW 261,Chambers Inlet,CBRI_041921,CBRI,19-Apr-21,NORM,2,0,,2.61,0.24,7.32,443.42,55.19,2.01,0.01,0.84,1.18,5.98,0.06,0.59,0.1,0,1.93
FCW 263,Chambers Outflow,CHD_041921,CHD,19-Apr-21,NORM,2.4,1.92,,2.94,0.36,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54
FCW 265,Poudre Above Joe Wright,PJW_041921,PJW,19-Apr-21,NORM,1.4,0,,4.29,0.44,7.27,381.18,42.42,2.02,0.01,0.99,1.08,4.12,0.12,0.65,0.3,0,2.29
FCW 264,JWC-Joe Wright @ Aspen Glen Campground,JWC_041921,JWC,19-Apr-21,NORM,,,,4.12,0.3,7.37,499.82,52.97,1.72,0.01,0.78,1.21,5.55,0.05,0.59,0.05,0,2.5
FCW 267,Poudre Below Rustic,PBR_041921,PBR,19-Apr-21,NORM,,,,3.69,0.23,7.47,574.46,62.08,2.77,0.01,0.94,1.72,6.01,0.07,1.41,0.11,0,2.95
FCW 270,Poudre Above North Fork,PNF_041921,PNF,19-Apr-21,NORM,,,,4.31,0.26,7.63,700.11,98.59,4.34,0.01,1.06,1.98,10.54,0.11,2.96,0.42,0,5.3
FCW 268,Poudre Below S. Fork,PSF_041921,PSF,19-Apr-21,NORM,,,,3.87,0.2,7.5,480.83,58.53,2.74,0.11,0.98,1.8,6.02,0.1,1.38,0.14,0,3.33
FCW 260,Poudre South Fork,SFM_041921,SFM,19-Apr-21,NORM,,,,3.63,0.36,7.28,381.79,48.37,2.87,0.01,0.79,1.28,4.79,0.08,0.78,0.57,0,3.75
FCW 283,Barnes Meadow Outflow,BMD_042621,BMD,26-Apr-21,NORM,15,6.67,,10.51,1,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95
FCW 281,Chambers Inlet,CBRI_042621,CBRI,26-Apr-21,NORM,2,202.86,,2.76,0.31,7.13,450.52,50.11,1.99,0.01,0.92,1.24,5.94,0.06,0.64,0.07,0,1.92
FCW 282,Chambers Outflow,CHD_042621,CHD,26-Apr-21,NORM,1.5,0,,3.03,0.36,6.99,505.86,56.8,2.55,0.02,0.97,1.36,6.74,0.06,0.75,0.04,0,2.5
FCW 285,Poudre Above Joe Wright,PJW_042621,PJW,26-Apr-21,NORM,,0,,4.37,0.65,6.97,340.96,40.27,2.1,0.01,0.99,1.07,3.98,0.1,0.71,0.34,0,2.27
FCW 284,JWC-Joe Wright @ Aspen Glen Campground,JWC_042621,JWC,26-Apr-21,NORM,,,,3.6,0.24,7.2,537.61,54.07,1.75,0.02,0.81,1.34,5.79,0.05,0.92,0.06,0,2.5
FCW 287,Poudre Below Rustic,PBR_042621,PBR,26-Apr-21,NORM,,,,3.78,0.22,7.63,623.79,63.29,2.78,0.01,0.91,1.82,5.35,0.06,1.38,0.12,0,2.91
FCW 288,Poudre Below Rustic,PBR_042621,PBR,26-Apr-21,DUPLICATE,,,,3.83,0.28,7.61,635.9,63.21,2.84,0.01,0.88,1.76,5.21,0.06,1.4,0.12,0,2.9
